resource_id,resource_name,resource_url,description,archived,format,type,runtime,subject_areas,authoring_organization,intended_audiences,record_modified,resource_revised
L000888112,A Bird's Eye View of Health Data Standards,https://www.nlm.nih.gov/bsd/disted/video/clin_info/standards.html,"As part of the series, Clinical Information, Librarians and the NLM: from Health Data Standards to Better Health, Rex Robison from the U.S. National Library of Medicine provides a primer on health data standards, highlighting the role of the National Library of Medicine in terminology standards.",False,MP4 Video,Webinar,26.0,Terminology; Clinical Medicine; Data Management,"Training Team, User Engagement Program",Everyone; Educator; Developer,12/11/2023 12:00:00 AM,10/16/2018 12:00:00 AM
L005481112,A Brief Guide to Finding and Comparing Ortholog Data at NCBI,https://www.youtube.com/watch?v=9Meh1CV852g,"This is a detailed tutorial showing how to start with a human protein, find a set of Cetacean orthologs, align the protein sequences, and explore amino acids that are common within cetaceans, but different from those of the human sequence.",False,MP4 Video,YouTube Video,5.0,Genetics and Molecular Biology,"Training Team, NCBI",Everyone; Educator,09/16/2024 12:00:00 AM,09/11/2024 12:00:00 AM
L004441112,A Brief Introduction to RxNav,https://www.nlm.nih.gov/oet/ed/navigator/rxnav/launch.html,"RxNav is a web application powered by the RxNorm API. RxNav helps you search, browse, and navigate through several drug information sources, including RxNorm, RxTerms and MED-RT. RxNav can help you find drug names and codes from RxNorm's constituent vocabularies.  This NLM Navigator will familiarize you with the basic layout and features of RxNav, and will show you how to search for, browse, and explore RxNorm data.",False,HTML,Tutorial,15.0,Drugs and Chemicals; RxNorm; Data Management,"Training Team, User Engagement Program",Everyone; Developer,10/25/2023 12:00:00 AM,08/23/2023 12:00:00 AM
L003367112,A Voyage to Health - Lesson Plans,https://www.nlm.nih.gov/exhibition/avoyagetohealth/education/index.html,A Voyage to Health presents these educational resources for K-12 educators and college/university faculty. The resources present selected themes or visual items from the online exhibition as a part of instructional materials or self-directed learning. Students examine the rich content and primary sources in the exhibition in developing content knowledge and higher order thinking skills.,False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L003704112,"AIDS Posters and Stories of Public Health: A People's History of a Pandemic - Responding to AIDS: History, Politics, and Visual Culture - Lesson Plan",https://www.nlm.nih.gov/exhibition/aids-posters/resource-detail1.html,"This class resource presents six separate one-hour lessons, each of which introduce its main topics along with suggested readings and discussion questions that help students explore thematic and visual material in the AIDS, Posters, and Stories of Public Health: A People’s History of a Pandemic exhibition. The class resource allows students to explore the history of AIDS in the United States, visual culture and the role of imagery in the response to AIDS, and scientists’ and activists’ responses to AIDS. Responding to AIDS includes digitally available, visual and textual items related to HIV/AIDS, selected from NLM’s Digital Collections, Profiles in Science, PubMed Central and other sources, for students to view, read, and expand their understanding about diverse and complex factors in responding to a health crisis.",False,HTML,Page,Unknown,History of Medicine; HIV/AIDS,Exhibitions Team,Everyone; Educator,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM
L001902112,"ALFA CoLab Presentation, ASHG2020",https://youtu.be/XM8HbSUNzfE,"This video is an introduction to and tutorial for using ALFA, the Allele Frequency Aggregator, at the National Center for Biotechnology Information (NCBI).",False,MP4 Video,YouTube Video,18.0,Genetics and Molecular Biology; Bioinformatics; Data Science,"Training Team, NCBI",Everyone,12/01/2020 12:00:00 AM,11/02/2020 12:00:00 AM
L001524112,ALFA: Allele Frequency Data for Variant Analysis and Interpretation,https://www.youtube.com/watch?v=wii-V39YxGk,"Results from the Allele Frequency Aggregator (ALFA) project will help you interpret the biological impact of common and rare sequence variants. ALFA's initial release includes analysis of genotype data from ~100K unrestricted dbGaP subjects and provides high-quality allele frequency data now displayed on relevant dbSNP records. Eventually ALFA will analyze more than 1M subjects. In this webinar, you will learn about the data in the recent ALFA release, see how to access the data from the web, FTP, and how to programmatically retrieve data by positions, genes, and other attributes using eUtils and Variation Services API in Python.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/17/2020 12:00:00 AM,04/22/2020 12:00:00 AM
L001525112,Accelerate Genomics Discovery with SRA in the Cloud,https://www.youtube.com/watch?v=PoseTXa8LU8,"You will learn to best leverage the cloud to speed up research and discovery. We'll introduce you to new and existing tools and data including BigQuery, SRA Toolkit, and more. You'll hear about real workflows in the cloud, including an example of the work NCBI was able to accomplish in the cloud using SRA data and a case study from an SRA cloud customer. By the end of this webinar, you will know where to look for new cloud products from NCBI, access help information to get you started, and will have expanded your knowledge on how to run your analyses efficiently in the cloud.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/17/2020 12:00:00 AM,04/20/2020 12:00:00 AM
L003303112,Access Genome Data using NCBI Datasets in Galaxy,https://www.youtube.com/watch?v=8TR3OrlgtC4,"This is a quick introduction to using NCBI Datasets withing Galaxy.  NCBI Datasets lets you easily gather data from across NCBI databases. You can download gene, transcript, protein and genome sequences, annotation and metadata.",False,MP4 Video,YouTube Video,4.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,09/12/2022 12:00:00 AM,09/06/2022 12:00:00 AM
L00515080,AccessGUDID: Search and Download,https://www.youtube.com/watch?v=iWPkoBanBfY,"This video, authored by the Food and Drug Administration, demonstrates how to search for medical device information on the AccessGUDID web site.",False,MP4 Video,Quick Tour,4.0,SNOMEDCT; Terminology,Terminology Services,Everyone,10/22/2018 12:00:00 AM,11/16/2016 12:00:00 AM
L004401112,Accessing NCBI Biology Resources Using EDirect for Command Line Novices,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-edirect/workshop-video.html,"In this workshop, we will begin with an introduction to working in a command line environment and then show you how to use the EDirect suite to access data programmatically from several NCBI databases.",False,HTML,Webinar Source Page,108.0,NCBI Workshops,"Training Team, NCBI",Everyone; Educator,08/01/2023 12:00:00 AM,07/31/2023 12:00:00 AM
L002061112,Add Preprint Citations in My Bibliography,https://www.youtube.com/watch?v=VGTRQNNDbmM,Demonstrates how to add preprint citations to My Bibliography.,False,MP4 Video,YouTube Video,3.0,My NCBI; Preprints,"NIHMS Team, NCBI",Everyone,04/28/2021 12:00:00 AM,01/27/2021 12:00:00 AM
L003352112,Against the Odds: Making a Difference in Global Health - Lesson Plans,https://www.nlm.nih.gov/exhibition/againsttheodds/online_activities/index.html,"Against the Odds presents the following instructional resources for middle- and high-school students and educators. Use them to discover stories of people and places featured in the exhibition. And explore how you, too, can Get Involved in improving health for all.",False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,08/27/2024 12:00:00 AM,09/30/2022 12:00:00 AM
L003981112,All of Us Researcher Workbench webinar for academic libraries,https://www.nlm.nih.gov/oet/ed/aou/2023/love_data_week.html,"The All of Us Research Program is a key component of the Precision Medicine Initiative, which aspires to leverage advances in genomics and health information technology to accelerate biomedical discoveries.   The webinar will cover the basics of the All of Us Research Program, and the All of Us Researcher Workbench, a cloud-based research platform that the All of Us Research Program has created, where individuals can apply for access to the data, and once approved as Authorized Data Users, create project-specific Workspaces in which to access and analyze the data. Topics will include the data available, how to expand access to your campus community, and the available training resources. Search for your institution online to find out if your institution already has access and use the All of Us Research Program dataset through the All of Us Researcher Workbench. If you do not have access at your institution, this webinar will instruct how your institution can get free access to the Workbench and provide resources to help you get access.",False,HTML,Webinar Source Page,43.0,Population Groups; Data Science,Network of the National Library of Medicine,Everyone; Educator,03/07/2023 12:00:00 AM,03/06/2023 12:00:00 AM
L005625112,An Introduction to ClinicalTrials.gov On Demand (requires free registration),https://www.nnlm.gov/training/class-catalog/introduction-clinicaltrialsgov-demand,"ClinicalTrials.gov is the openly available federal registry and results database of publicly and privately funded clinical studies conducted in the United States and around the world. ClinicalTrials.gov is a vital resource for researchers, healthcare providers, patients and their families, and health sciences librarians who wish to consult the entire body of evidence on any particular topic. In this course, you will learn the significance of ClinicalTrials.gov, the policies and regulations that affect clinical trials registration, and practice using the ClinicalTrials.gov database.",False,HTML,On-Demand Course,Unknown,ClinicalTrials.gov,"Training Team, User Engagement Program",Everyone; Educator,03/14/2025 12:00:00 AM,11/01/2024 12:00:00 AM
L000939112,An Introduction to Evidence Based Practice: A Librarian's Guide - 1 - Introduction to EBP and PICO,https://youtu.be/UxVFfSrx1Sc,"After completing this webinar, participants should be able to:-Explain the importance and steps of evidence-based practice-Identify the role of the librarian in teaching, practicing, and supporting evidence-based practice-Formulate a clinical question based on the scope of the requestor's problem, PICO, and question type",False,MP4 Video,Webinar,55.0,PubMed,Network of the National Library of Medicine,Everyone,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L000938112,An Introduction to Evidence Based Practice: A Librarian's Guide - 2 - Searching,https://youtu.be/anbTseIKrmw,"After completing this class, participants should be able to:-Locate background and foreground information-Develop effective search strategies in order to find relevant evidence",False,MP4 Video,Webinar,61.0,PubMed,Network of the National Library of Medicine,Everyone,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L000937112,An Introduction to Evidence Based Practice: A Librarian's Guide - 3 - Appraisal and Application,https://youtu.be/kC-QDYR9E1I,"After completing this class, participants should be able to:-Describe study designs and the hierarchy of evidence-Choose appropriate study design based on question type-Apply descriptive and inferential statistics to understand research findings studies",False,MP4 Video,Webinar,52.0,PubMed,Network of the National Library of Medicine,Everyone,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L003201112,An Introduction to NCBI Cloud Computing for Biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_07_cloud.html,"In this workshop, you will get hands-on experience with the AWS cloud environment using a combination of web-based and Linux command-line tools. his workshop is designed for experimental biologists without cloud computing experience.",False,HTML,Webinar Source Page,141.0,Genetics and Molecular Biology; Other; NCBI Workshops,"Training Team, NCBI",Everyone,08/01/2022 12:00:00 AM,08/01/2022 12:00:00 AM
L002806112,An Introduction to NCBI Cloud Computing for Biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2021_11_cloud.html,"On November 16, 2021, the NCBI Education Team provided a workshop on NCBI Cloud Computing for Biologists. Training materials from this event are available on this page.  As DNA sequencing becomes a commonplace tool in biological research, the need for accessible, scalable, and secure computational environments to process this deluge of data is growing. NCBI has partnered with leading cloud computing providers to provide tools and data to this growing industry. This workshop is designed for experimental biologists without cloud computing experience. While not required, it is most useful for researchers who do sequence-based research and who have some familiarity interacting with a Linux command-line.",False,HTML,Webinar Source Page,180.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone,02/18/2022 12:00:00 AM,11/16/2021 12:00:00 AM
L002901112,An Introduction to NCBI Cloud Computing for Virologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_02_cloud.html,This workshop is designed for virologists without cloud computing experience.,False,HTML,Webinar Source Page,171.0,Genetics and Molecular Biology; Other; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,12/06/2023 12:00:00 AM,03/14/2022 12:00:00 AM
L004461112,An Introduction to Pathogen Data at NCBI,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-pathogen-data/workshop-details.html,"Over the years, NCBI has collected a vast amount of sequence information including from organisms considered pathogenic to others, including certain viruses, bacteria and fungi.  With all of the databases and tools available at NCBI, it is sometimes daunting to know where to start looking for and find data of interest. This workshop is for those interested in microbial or pathogen research and who are new to or would like a more structured way to find relevant data on the NCBI website.",False,HTML,Webinar Source Page,115.0,Genetics and Molecular Biology; Data Science; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,08/25/2023 12:00:00 AM,08/24/2023 12:00:00 AM
L003562112,An Introduction to PubChem for Life Scientists,https://www.nlm.nih.gov/ncbi/workshops/2022-11_intro-to-pubchem/workshop-details.html,"Scientists and educators from many different fields need to find and understand chemical data to perform their work. As such, understanding PubChem, the world’s largest collection of freely accessible chemical information, is a powerful skill for researchers, educators, clinicians, and more. In this workshop, participants will have access to NCBI experts and be introduced to the functionality of the PubChem Database.",False,HTML,Webinar Source Page,82.0,Drugs and Chemicals; PubChem,"Training Team, NCBI",Everyone; Educator,12/01/2022 12:00:00 AM,11/17/2022 12:00:00 AM
L004281112,An Introduction to PubChem for Life Scientists,https://www.nlm.nih.gov/ncbi/workshops/2023-06_intro-to-pubchem/workshop-details.html,"Scientists and educators from many different fields need to find and understand chemical data to perform their work. As such, understanding PubChem, the world’s largest collection of freely accessible chemical information, is a powerful skill for researchers, educators, clinicians, and more. In this workshop, participants will have access to NCBI experts and be introduced to the functionality of the PubChem Database.",False,HTML,Webinar Source Page,117.0,Drugs and Chemicals; PubChem,"Training Team, NCBI",Everyone; Educator,07/11/2023 12:00:00 AM,07/10/2023 12:00:00 AM
L002521112,"An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers",https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_pubmed.html,"On December 16, 2021 the NCBI Education Team provided the workshop: An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers. Training materials from this event are available on this page.  PubMed has over 33 million citations in the areas of biomedicine and health, and related scientific fields. However, the volume of citations in this database can make it difficult for new searchers to find relevant citations and links to full-text articles to support research projects.  This workshop was designed to provide a guided experience for novice searchers as well as provide some tips on how to use an NCBI account to more effectively use PubMed.",False,HTML,Webinar Source Page,64.0,My NCBI; PubMed; PubMed Central; NCBI Workshops; Public Access,"Training Team, NCBI",Everyone,05/17/2023 12:00:00 AM,12/16/2021 12:00:00 AM
L002804112,An NCBI Guide to Finding and Analyzing Metagenomic Data,https://www.nlm.nih.gov/oet/ed/ncbi/2021_10_meta.html,"This workshop is designed for researchers to gain hands-on experience with accessing and analyzing metagenomic data using the various relevant resources available on the NCBI website. Additionally, some exercises in this workshop will provide experience with a Jupyter Notebook for bash- and python-based accessing and processing of this metagenomic data.",False,HTML,Webinar Source Page,97.0,Genetics and Molecular Biology; Bioinformatics; NCBI Workshops,"Training Team, NCBI",Everyone,06/28/2024 12:00:00 AM,10/26/2021 12:00:00 AM
L001401112,An Overview of NLM's Post-TOXNET Resources,https://players.brightcove.net/5527299009001/default_default/index.html?videoId=6146633966001,"This webinar describes where former users of TOXNET can now go for information. For example, overviews of where the databases are now located are provided by a “TOXNET Has Moved” web page and an NLM “TOXNET Update: New Locations for TOXNET Content” Technical Bulletin article. The rest of the webinar provides an overview and examples of the toxicology- and chemical safety-related information now available in PubChem. Key for former users of TOXNET is that Hazardous Substances Data Bank (HSDB) content now exists as data fields in PubChem substance records.",False,HTML,Webinar Source Page,60.0,Drugs and Chemicals; Toxicology,"Training Team, User Engagement Program",Everyone,03/20/2023 12:00:00 AM,04/02/2020 12:00:00 AM
L002808112,An Update on NCBI BLAST and Other Sequence Analysis Tools,https://www.nlm.nih.gov/oet/ed/ncbi/2022_01_blast.html,"On January 25, 2022, the NCBI Education Team provided the workshop: An Update on NCBI BLAST and Other Sequence Analysis Tools. Training materials from this event are available on this page.  This virtual workshop highlights new displays and features and introduces best practices for use of NCBI BLAST services. You will learn when and how to use important but often misunderstood aspects of the BLAST programs, specialized services, and databases. You will explore other important sequence analysis services, including Primer BLAST, an oligonucleotide primer designer and specificity checker, and COBALT, a multiple protein sequence alignment tool. Finally, you will see brief demonstrations of standalone BLAST and related tools, including SRA-Toolkit BLAST and Magic-BLAST.",False,HTML,Webinar Source Page,Unknown,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone,02/18/2022 12:00:00 AM,01/25/2022 12:00:00 AM
L002383112,"An Update to SciENcv, the Science Experts Network Curriculum Vitae",https://www.youtube.com/watch?v=eGyHX85DIcE,"A minor update incorporating changes made to the NIH biosketch format for submissions beginning on or after May 25, 2021",False,MP4 Video,YouTube Video,4.0,Other; SciENcv,"Training Team, NCBI",Everyone; Educator,09/13/2021 12:00:00 AM,08/17/2021 12:00:00 AM
L004061112,Analyze Evolutionary Relationships Between Two Genomes using NCBI's Comparative Genome Viewer (CGV),https://www.youtube.com/watch?v=_TA86Tu1N0c,"This is a tutorial showing how to use CGV to view assembly-assembly alignments, including cross-species alignments.  The Comparative Genome Viewer (CGV) became available in 2022 and continues to be updated and expanded.",False,MP4 Video,YouTube Video,6.0,Genetics and Molecular Biology,"Training Team, NCBI",Everyone; Educator,04/10/2023 12:00:00 AM,04/05/2023 12:00:00 AM
L003681112,Analyzing & Visualizing NextGen Reads with Magic-BLAST,https://www.nlm.nih.gov/ncbi/workshops/2022-12_ngs-analysis-viz/workshop-details.html,This workshop is designed for biologists experience with command-line who are interested in doing some preliminary analysis of their next-generation sequence data in comparison to a reference sequence with annotations.,False,HTML,Webinar Source Page,110.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,12/29/2022 12:00:00 AM,12/29/2022 12:00:00 AM
L004781112,Analyzing & Visualizing NextGen Reads with Magic-BLAST (October 2023),https://www.nlm.nih.gov/ncbi/workshops/2023-10_nextgen-reads-magicblast/workshop-details.html,"Next generation sequencing (next-gen) has become the standard method for obtaining genomic and transcriptomic sequences; however analysis of the large number of short reads can be complicated and requires specialized software. NCBI has developed a variation of the BLAST algorithm, Magic-BLAST, to align next-gen reads to a reference nucleotide sequence. You can import the read alignment results from Magic-BLAST into one of NCBI’s genome browsers to visualize them alongside your choice of hundreds of other NCBI annotation tracks.  Thus, without having to go through a sequence assembly step, you can quickly assess the sequence set for genetic variations and map potential gene annotations.",False,HTML,Webinar Source Page,115.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,11/28/2023 12:00:00 AM,10/31/2023 12:00:00 AM
L003821112,Annotate CDS Features in a New mRNA Submission Wizard,https://www.youtube.com/watch?v=YfGSrykXfR0,This video introduces an NCBI Submission Portal web form to make it easier to annotate your eukaryotic nuclear mRNA coding sequences.,False,MP4 Video,YouTube Video,4.0,Genetics and Molecular Biology,"Training Team, NCBI",Everyone; Educator,01/23/2023 12:00:00 AM,01/18/2023 12:00:00 AM
L001821112,"BLAST Results: Expect Values, Part 1",https://youtu.be/ZN3RrXAe0uM,"This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.",False,MP4 Video,YouTube Video,3.0,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",Everyone,10/02/2020 12:00:00 AM,07/30/2020 12:00:00 AM
L001822112,"BLAST Results: Expect Values, Part 2",https://www.youtube.com/watch?v=dzRq-5BrGD4,"This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.",False,MP4 Video,YouTube Video,4.0,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",Everyone,10/02/2020 12:00:00 AM,07/30/2020 12:00:00 AM
L003230112,"Basic Local Alignment Search Tool (BLAST, NLM Product Outreach Guide)",https://www.nnlm.gov/Brd3m,"A resource that finds regions of similarity between biological sequences. This brief product guide to BLAST is designed to quickly orient people who do outreach and training about the resource: Who uses it, for what, and how. The guide also includes teaching examples and alternative resources.",False,PDF,Document,Unknown,Genetics and Molecular Biology; Bioinformatics,Network of the National Library of Medicine,Educator,07/12/2024 12:00:00 AM,08/12/2022 12:00:00 AM
L002681112,Beta ClinicalTrials.gov Website Tour - 2021 December,https://www.nlm.nih.gov/oet/ed/ct/2021_beta.html,Take a tour of the first beta release of the ClinicalTrials.gov modernization effort.,False,MP4 Video,Webinar,40.0,ClinicalTrials.gov,"ClinicalTrials.gov Team, NCBI",Everyone; Educator,05/12/2023 12:00:00 AM,12/07/2021 12:00:00 AM
L003368112,"Binding Wounds, Pushing Boundaries: African Americans in Civil War Medicine - Lesson Plans",https://www.nlm.nih.gov/exhibition/bindingwounds/education/lessonplans.html,Binding Wounds and Pushing Boundaries presents the following instructional resources for educators in K-12 as well as in higher education institutions. The resources provide examples of how the rich content and primary sources in the exhibition can be used in a classroom. They are developed as instructional suggestions that an educator may adapt in whole or in parts as she or he deems most appropriate for the students' interest and academic goals.,False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,09/30/2022 12:00:00 AM,07/15/2013 12:00:00 AM
L004849112,"Binding Wounds, Pushing Boundaries: African Americans in Civil War Medicine - Obstacles and Opportunities: African Americans' Medical Work in the American Civil War - Lesson Plans",https://www.nlm.nih.gov/exhibition/bindingwounds/education/highereducation.html,"Obstacles and Opportunities: African Americans' Medical Work in the American Civil War module includes three units which focus on understanding mid-nineteenth century medical thought and practice, the medical challenges brought by the Civil War, and the ways the war allowed African Americans to break down barriers blocking them from careers in medicine.",False,HTML,Webinar Source Page,Unknown,History of Medicine,Exhibitions Team,Everyone; Educator,12/12/2023 12:00:00 AM,12/12/2023 12:00:00 AM
L002341112,"Bioinformatics and Biology Essentials for Librarians: Databases, Tools, and Clinical Applications (requires free registration)",https://www.nnlm.gov/training/class-catalog/bioinformatics-and-biology-essentials-librarians-databases-tools-and,Self-paced class that reviews basic biology concepts and takes a deep dive into NCBI Molecular Biology Databases.,False,HTML,On-Demand Course,Unknown,Genetics and Molecular Biology; Bioinformatics,Network of the National Library of Medicine,Everyone; Educator,03/14/2025 12:00:00 AM,01/16/2024 12:00:00 AM
L005301112,Bookshelf Queries and Discovery Guides,https://www.ncbi.nlm.nih.gov/books/NBK604647/,"This living document contains a collection of discovery guides and queries that can help you find various types of biomedical, life sciences, and healthcare literature held in the NCBI Bookshelf. Includes guides on Discovery by Subject (Subject Queries, Toxicology Discovery Guide) and Discovery by Format (Bookshelf Format Queries, Textbooks & Reference Works Discovery Guide, Clinical Guidelines and Systematic Reviews Discovery Guide).",False,HTML,Help Page or FAQ,Unknown,NLM Catalog; Clinical Medicine; Toxicology; Bookshelf,"Bookshelf Team, NCBI",Everyone; Educator,08/27/2024 12:00:00 AM,07/01/2024 12:00:00 AM
L005161112,Bookshelf Tutorials,https://www.ncbi.nlm.nih.gov/books/NBK45612/,A collection of short video demonstrations that highlight the features of the Bookshelf.,False,HTML,Help Page or FAQ,2.0,Bookshelf,"Training Team, User Engagement Program",Everyone,08/27/2024 12:00:00 AM,07/01/2024 12:00:00 AM
L003664112,Búsqueda por tema en PubMed: Cómo funciona | PubMed Subject Search: How it Works (Spanish),https://youtu.be/v6VE_SPAU6g,Cómo funciona PubMed.,False,MP4 Video,YouTube Video,4.0,PubMed,"Training Team, User Engagement Program",Everyone; Educator,12/15/2023 12:00:00 AM,12/15/2023 12:00:00 AM
